categories,chunks,context,id,targets,time_coords,time_indices,trials,words
animal,0,read,144,animal,6.8000030517578125,8,12,BALLENA
animal,0,read,144,animal,7.650003433227539,9,12,BALLENA
animal,0,read,144,animal,8.500003814697266,10,12,BALLENA
animal,0,read,144,animal,9.350004196166992,11,12,BALLENA
animal,0,read,144,animal,10.200004577636719,12,12,BALLENA
animal,0,read,144,animal,11.050004959106445,13,12,BALLENA
animal,0,read,145,animal,19.55000877380371,23,10,GALLINA
animal,0,read,145,animal,20.400009155273438,24,10,GALLINA
animal,0,read,145,animal,21.250009536743164,25,10,GALLINA
animal,0,read,145,animal,22.10000991821289,26,10,GALLINA
animal,0,read,145,animal,22.950010299682617,27,10,GALLINA
animal,0,read,145,animal,23.800010681152344,28,10,GALLINA
tool,0,read,146,tool,32.30001449584961,38,29,CEPILLO
tool,0,read,146,tool,33.150014877319336,39,29,CEPILLO
tool,0,read,146,tool,34.00001525878906,40,29,CEPILLO
tool,0,read,146,tool,34.85001564025879,41,29,CEPILLO
tool,0,read,146,tool,35.700016021728516,42,29,CEPILLO
tool,0,read,146,tool,36.55001640319824,43,29,CEPILLO
tool,0,read,147,tool,45.05002021789551,53,28,NAVAJA
tool,0,read,147,tool,45.900020599365234,54,28,NAVAJA
tool,0,read,147,tool,46.75002098083496,55,28,NAVAJA
tool,0,read,147,tool,47.60002136230469,56,28,NAVAJA
tool,0,read,147,tool,48.450021743774414,57,28,NAVAJA
tool,0,read,147,tool,49.30002212524414,58,28,NAVAJA
animal,0,read,148,animal,56.10002517700195,66,3,OVEJA
animal,0,read,148,animal,56.95002555847168,67,3,OVEJA
animal,0,read,148,animal,57.800025939941406,68,3,OVEJA
animal,0,read,148,animal,58.65002632141113,69,3,OVEJA
animal,0,read,148,animal,59.50002670288086,70,3,OVEJA
animal,0,read,148,animal,60.350027084350586,71,3,OVEJA
animal,0,read,149,animal,68.00003051757812,80,4,CERDO
animal,0,read,149,animal,68.85003089904785,81,4,CERDO
animal,0,read,149,animal,69.70003128051758,82,4,CERDO
animal,0,read,149,animal,70.5500316619873,83,4,CERDO
animal,0,read,149,animal,71.40003204345703,84,4,CERDO
animal,0,read,149,animal,72.25003242492676,85,4,CERDO
animal,0,read,150,animal,80.75003623962402,95,14,PANTERA
animal,0,read,150,animal,81.60003662109375,96,14,PANTERA
animal,0,read,150,animal,82.45003700256348,97,14,PANTERA
animal,0,read,150,animal,83.3000373840332,98,14,PANTERA
animal,0,read,150,animal,84.15003776550293,99,14,PANTERA
animal,0,read,150,animal,85.00003814697266,100,14,PANTERA
tool,0,read,151,tool,92.6500415802002,109,32,TORNILLO
tool,0,read,151,tool,93.50004196166992,110,32,TORNILLO
tool,0,read,151,tool,94.35004234313965,111,32,TORNILLO
tool,0,read,151,tool,95.20004272460938,112,32,TORNILLO
tool,0,read,151,tool,96.0500431060791,113,32,TORNILLO
tool,0,read,151,tool,96.90004348754883,114,32,TORNILLO
animal,0,read,152,animal,105.4000473022461,124,0,TIGRE
animal,0,read,152,animal,106.25004768371582,125,0,TIGRE
animal,0,read,152,animal,107.10004806518555,126,0,TIGRE
animal,0,read,152,animal,107.95004844665527,127,0,TIGRE
animal,0,read,152,animal,108.800048828125,128,0,TIGRE
animal,0,read,152,animal,109.65004920959473,129,0,TIGRE
tool,0,read,153,tool,119.00005340576172,140,21,AGUJA
tool,0,read,153,tool,119.85005378723145,141,21,AGUJA
tool,0,read,153,tool,120.70005416870117,142,21,AGUJA
tool,0,read,153,tool,121.5500545501709,143,21,AGUJA
tool,0,read,153,tool,122.40005493164062,144,21,AGUJA
