categories,chunks,context,id,targets,time_coords,time_indices,trials,words
tool,0,read,144,tool,6.8000030517578125,8,33,CUCHARA
tool,0,read,144,tool,7.650003433227539,9,33,CUCHARA
tool,0,read,144,tool,8.500003814697266,10,33,CUCHARA
tool,0,read,144,tool,9.350004196166992,11,33,CUCHARA
tool,0,read,144,tool,10.200004577636719,12,33,CUCHARA
tool,0,read,144,tool,11.050004959106445,13,33,CUCHARA
animal,0,read,145,animal,19.55000877380371,23,1,GALLO
animal,0,read,145,animal,20.400009155273438,24,1,GALLO
animal,0,read,145,animal,21.250009536743164,25,1,GALLO
animal,0,read,145,animal,22.10000991821289,26,1,GALLO
animal,0,read,145,animal,22.950010299682617,27,1,GALLO
animal,0,read,145,animal,23.800010681152344,28,1,GALLO
tool,0,read,146,tool,34.00001525878906,40,19,LAPIZ
tool,0,read,146,tool,34.85001564025879,41,19,LAPIZ
tool,0,read,146,tool,35.700016021728516,42,19,LAPIZ
tool,0,read,146,tool,36.55001640319824,43,19,LAPIZ
tool,0,read,146,tool,37.40001678466797,44,19,LAPIZ
tool,0,read,146,tool,38.250017166137695,45,19,LAPIZ
tool,0,read,147,tool,47.60002136230469,56,26,ALICATE
tool,0,read,147,tool,48.450021743774414,57,26,ALICATE
tool,0,read,147,tool,49.30002212524414,58,26,ALICATE
tool,0,read,147,tool,50.15002250671387,59,26,ALICATE
tool,0,read,147,tool,51.000022888183594,60,26,ALICATE
tool,0,read,147,tool,51.85002326965332,61,26,ALICATE
animal,0,read,148,animal,59.50002670288086,70,11,CABALLO
animal,0,read,148,animal,60.350027084350586,71,11,CABALLO
animal,0,read,148,animal,61.20002746582031,72,11,CABALLO
animal,0,read,148,animal,62.05002784729004,73,11,CABALLO
animal,0,read,148,animal,62.900028228759766,74,11,CABALLO
animal,0,read,148,animal,63.75002861022949,75,11,CABALLO
animal,0,read,149,animal,71.40003204345703,84,9,CONEJO
animal,0,read,149,animal,72.25003242492676,85,9,CONEJO
animal,0,read,149,animal,73.10003280639648,86,9,CONEJO
animal,0,read,149,animal,73.95003318786621,87,9,CONEJO
animal,0,read,149,animal,74.80003356933594,88,9,CONEJO
animal,0,read,149,animal,75.65003395080566,89,9,CONEJO
animal,0,read,150,animal,82.45003700256348,97,8,ARDILLA
animal,0,read,150,animal,83.3000373840332,98,8,ARDILLA
animal,0,read,150,animal,84.15003776550293,99,8,ARDILLA
animal,0,read,150,animal,85.00003814697266,100,8,ARDILLA
animal,0,read,150,animal,85.85003852844238,101,8,ARDILLA
animal,0,read,150,animal,86.70003890991211,102,8,ARDILLA
animal,0,read,150,animal,87.55003929138184,103,8,ARDILLA
tool,0,read,151,tool,94.35004234313965,111,18,LLAVE
tool,0,read,151,tool,95.20004272460938,112,18,LLAVE
tool,0,read,151,tool,96.0500431060791,113,18,LLAVE
tool,0,read,151,tool,96.90004348754883,114,18,LLAVE
tool,0,read,151,tool,97.75004386901855,115,18,LLAVE
tool,0,read,151,tool,98.60004425048828,116,18,LLAVE
tool,0,read,152,tool,107.10004806518555,126,35,CUCHILLO
tool,0,read,152,tool,107.95004844665527,127,35,CUCHILLO
tool,0,read,152,tool,108.800048828125,128,35,CUCHILLO
tool,0,read,152,tool,109.65004920959473,129,35,CUCHILLO
tool,0,read,152,tool,110.50004959106445,130,35,CUCHILLO
tool,0,read,152,tool,111.35004997253418,131,35,CUCHILLO
tool,0,read,153,tool,119.85005378723145,141,28,NAVAJA
tool,0,read,153,tool,120.70005416870117,142,28,NAVAJA
tool,0,read,153,tool,121.5500545501709,143,28,NAVAJA
tool,0,read,153,tool,122.40005493164062,144,28,NAVAJA
tool,0,read,153,tool,123.25005531311035,145,28,NAVAJA
tool,0,read,153,tool,124.10005569458008,146,28,NAVAJA
animal,0,read,154,animal,131.75005912780762,155,6,BURRO
animal,0,read,154,animal,132.60005950927734,156,6,BURRO
animal,0,read,154,animal,133.45005989074707,157,6,BURRO
animal,0,read,154,animal,134.3000602722168,158,6,BURRO
animal,0,read,154,animal,135.15006065368652,159,6,BURRO
animal,0,read,154,animal,136.00006103515625,160,6,BURRO
animal,0,read,155,animal,143.6500644683838,169,5,GORILA
animal,0,read,155,animal,144.50006484985352,170,5,GORILA
animal,0,read,155,animal,145.35006523132324,171,5,GORILA
animal,0,read,155,animal,146.20006561279297,172,5,GORILA
animal,0,read,155,animal,147.0500659942627,173,5,GORILA
animal,0,read,155,animal,147.90006637573242,174,5,GORILA
animal,0,read,156,animal,155.55006980895996,183,12,BALLENA
animal,0,read,156,animal,156.4000701904297,184,12,BALLENA
animal,0,read,156,animal,157.2500705718994,185,12,BALLENA
animal,0,read,156,animal,158.10007095336914,186,12,BALLENA
animal,0,read,156,animal,158.95007133483887,187,12,BALLENA
animal,0,read,156,animal,159.8000717163086,188,12,BALLENA
animal,0,read,157,animal,167.45007514953613,197,4,CERDO
animal,0,read,157,animal,168.30007553100586,198,4,CERDO
animal,0,read,157,animal,169.1500759124756,199,4,CERDO
animal,0,read,157,animal,170.0000762939453,200,4,CERDO
animal,0,read,157,animal,170.85007667541504,201,4,CERDO
animal,0,read,157,animal,171.70007705688477,202,4,CERDO
tool,0,read,158,tool,179.3500804901123,211,25,PINCEL
tool,0,read,158,tool,180.20008087158203,212,25,PINCEL
tool,0,read,158,tool,181.05008125305176,213,25,PINCEL
tool,0,read,158,tool,181.90008163452148,214,25,PINCEL
tool,0,read,158,tool,182.7500820159912,215,25,PINCEL
tool,0,read,158,tool,183.60008239746094,216,25,PINCEL
tool,0,read,159,tool,191.25008583068848,225,34,MARTILLO
tool,0,read,159,tool,192.1000862121582,226,34,MARTILLO
tool,0,read,159,tool,192.95008659362793,227,34,MARTILLO
tool,0,read,159,tool,193.80008697509766,228,34,MARTILLO
tool,0,read,159,tool,194.65008735656738,229,34,MARTILLO
tool,0,read,159,tool,195.5000877380371,230,34,MARTILLO
tool,0,read,160,tool,204.00009155273438,240,29,CEPILLO
tool,0,read,160,tool,204.8500919342041,241,29,CEPILLO
tool,0,read,160,tool,205.70009231567383,242,29,CEPILLO
tool,0,read,160,tool,206.55009269714355,243,29,CEPILLO
tool,0,read,160,tool,207.40009307861328,244,29,CEPILLO
tool,0,read,160,tool,208.250093460083,245,29,CEPILLO
animal,0,read,161,animal,216.75009727478027,255,3,OVEJA
animal,0,read,161,animal,217.60009765625,256,3,OVEJA
animal,0,read,161,animal,218.45009803771973,257,3,OVEJA
animal,0,read,161,animal,219.30009841918945,258,3,OVEJA
animal,0,read,161,animal,220.15009880065918,259,3,OVEJA
animal,0,read,161,animal,221.0000991821289,260,3,OVEJA
tool,0,read,162,tool,228.65010261535645,269,27,TUERCA
tool,0,read,162,tool,229.50010299682617,270,27,TUERCA
tool,0,read,162,tool,230.3501033782959,271,27,TUERCA
